83.04,2.19
73.09,8.35
68.39,5.44
67.22,10.24
82.87,5.51
73.83,11.14
73.37,1.35
55.98,13.12
70.72,6.66
71.25,13.77
89.67,5.94
82.75,2.33
61.76,7.76
73.30,9.14
62.14,0.66
85.97,6.14
78.63,3.51
85.15,12.88
85.14,11.95
55.01,11.91
73.48,2.66
75.94,7.84
66.91,7.78
78.90,7.47
61.68,9.21
70.01,5.82
74.44,1.54
69.66,7.25
71.83,6.95
57.69,11.19
88.75,9.30
77.03,9.53
57.32,9.96
62.26,4.37
86.32,12.11
71.50,5.79
87.18,0.80
67.50,6.54
56.37,10.98
80.03,9.87
77.87,4.54
71.74,10.04
87.17,1.90
62.18,12.84
69.91,11.92
73.01,3.27
67.89,2.51
65.80,3.14
57.43,1.18
64.64,13.80
76.41,13.36
55.69,1.70
66.00,10.95
79.63,13.86
69.66,2.18
82.39,1.37
73.49,8.74
70.94,6.20
69.12,2.70
71.64,0.13
62.94,6.91
72.37,2.72
73.67,13.06
69.43,5.13
82.28,0.57
69.44,11.80
73.73,8.99
55.88,6.14
80.72,11.23
86.26,13.44
55.96,0.56
64.59,13.96
76.73,4.31
83.58,10.91
66.36,12.30
63.95,9.83
75.83,5.54
82.68,11.97
71.85,3.65
76.77,9.59
79.04,1.47
62.12,11.27
59.01,10.12
66.51,13.99
72.15,8.13
65.99,6.35
65.76,1.47
78.59,11.06
77.51,4.42
69.74,9.66
66.75,8.68
85.90,7.87
89.24,3.97
74.52,8.61
73.89,4.02
79.55,6.89
62.10,9.41
85.79,7.27
58.93,1.85
76.34,7.12
84.02,12.80
57.51,3.32
85.05,1.08
67.86,7.39
83.78,7.10
81.59,0.25
65.97,6.69
63.64,3.95
70.54,5.30
68.34,6.52
87.95,8.88
73.95,7.97
62.49,3.40
59.60,12.70
89.31,10.21
75.67,7.56
65.96,3.13
78.13,1.78
65.52,6.46
67.58,1.17
63.00,5.08
75.83,1.49
60.24,9.72
85.56,1.08
75.00,0.69
70.08,2.68
71.29,3.59
66.71,10.86
85.81,8.09
56.32,5.46
87.67,9.97
79.28,3.23
66.04,3.02
79.34,8.51
77.34,2.56
84.92,12.57
65.96,2.83
75.78,9.35
79.50,8.57
77.81,9.54
68.17,8.99
88.50,13.21
85.35,3.72
66.88,4.55
65.56,13.71
86.60,12.88
80.91,13.48
89.03,7.45
56.58,11.99
66.80,2.66
55.65,2.98
56.19,8.85
67.52,1.35
69.18,4.95
73.68,9.56
83.33,3.59
86.72,10.59
61.55,11.61
72.29,11.72
67.46,11.63
60.26,11.94
84.37,3.08
80.62,6.49
75.90,4.13
68.30,13.56
60.07,12.59
78.27,0.81
82.07,4.89
55.86,6.03
61.49,2.51
83.08,7.35
85.90,11.77
76.52,8.58
55.06,8.90
66.62,13.51
89.43,9.89
85.58,3.93
86.02,0.68
84.84,3.83
65.95,13.17
89.85,13.13
68.85,10.59
72.87,12.91
87.45,9.14
75.00,7.50
68.89,0.54
85.58,2.51
85.43,8.04
64.52,6.35
64.54,0.42
76.86,9.10
79.41,11.33
62.28,3.18
78.24,9.86
63.28,1.80
67.60,10.39
86.75,13.24
56.08,7.58
89.52,8.93
85.95,12.25
65.04,13.93
66.21,11.02
74.33,4.29
76.76,10.10
69.45,4.03
57.10,4.40
60.48,0.24
60.46,1.24
68.27,6.61
89.38,5.23
55.71,6.27
78.02,7.16
75.83,11.61
71.52,0.32
85.62,6.00
72.43,4.11
69.12,8.45
82.06,9.90
87.36,3.97
58.47,13.59
81.91,8.53
69.33,4.54
68.25,6.31
86.17,7.83
75.49,13.11
61.25,8.39
70.99,12.39
74.08,8.12
66.20,6.55
79.41,7.94
79.15,6.84
79.92,10.67
89.45,5.68
86.48,3.98
88.43,4.75
56.69,10.24
74.06,0.69
69.53,2.31
70.40,2.01
78.80,10.34
65.25,13.04
86.19,3.09
74.62,8.51
75.35,5.25
75.79,8.48
56.44,4.89
87.73,5.55
58.40,12.62
79.75,4.20
89.88,7.76
70.24,0.53
68.21,5.23
81.87,10.51
64.78,1.37
83.95,12.39
58.83,7.42
64.34,0.54
55.91,4.51
79.45,3.88
86.96,0.18
60.02,0.17
81.68,12.00
64.54,8.01
77.53,7.87
81.02,3.22
57.17,1.70
76.05,6.90
60.50,3.85
87.35,10.33
78.94,9.97
57.42,11.64
68.17,4.20
88.54,6.42
59.86,7.85
59.58,5.40
55.99,5.50
67.55,5.97
59.08,12.82
66.71,9.32
62.51,5.49
73.58,5.39
83.20,7.35
75.07,6.30
56.19,11.38
72.91,3.76
68.92,5.07
79.73,9.07
62.11,10.51
85.58,4.60
67.47,10.22
71.51,0.65
63.14,8.05
62.47,9.31
56.31,4.81
88.66,0.05
72.58,12.46
81.08,10.49
68.56,9.89
77.86,9.41
73.90,7.28
80.22,5.34
62.42,8.41
81.30,8.72
59.50,4.40
74.35,10.09
69.02,5.69
89.37,3.49
64.13,10.64
57.11,10.94
60.85,3.26
75.36,3.58
87.69,2.78
72.44,7.04
86.03,11.17
83.91,3.48
86.27,2.79
57.91,7.17
55.44,8.78
83.48,13.63
66.11,12.44
55.40,13.28
65.12,10.99
60.41,13.82
78.41,5.77
77.99,2.21
68.44,10.05
81.03,4.52
66.71,10.15
83.32,5.19
80.77,2.68
78.60,11.66
56.34,12.05
55.98,11.82
78.84,7.56
71.71,7.32
72.88,11.53
82.95,4.52
82.05,2.66
80.14,9.42
72.90,13.96
86.67,1.56
85.88,10.59
70.78,3.66
78.08,8.74
72.68,2.29
74.35,1.90
57.63,10.09
85.44,12.20
72.06,13.14
70.22,6.13
87.29,8.37
58.77,5.16
66.83,5.58
86.57,3.58
89.51,2.32
85.61,1.82
66.60,2.82
68.18,4.95
87.61,9.08
81.20,12.63
61.93,10.79
89.30,9.30
69.55,8.67
71.88,8.04
81.65,4.40
86.15,13.60
80.84,4.13
